previous_habit_ratio,sleep_hours,sleep_quality,water_liters,steps_count,calories,protein,carbs,fat,mood,habit_success
0.89,6.1,2,2.5,7143,2209,120.9,378.4,56.1,4,1
0.71,6.3,1,3.0,6217,3149,77.9,330.0,88.1,3,1
0.83,6.8,1,3.5,7307,2865,90.6,231.1,117.0,4,1
0.73,7.1,2,3.7,10945,2541,132.6,345.9,87.5,4,1
0.72,6.9,2,3.2,11771,2142,64.1,245.6,70.3,3,1
0.96,8.6,2,2.6,11207,2747,74.6,271.1,96.9,3,1
0.88,6.5,1,2.3,9108,2552,149.1,328.0,89.0,4,1
0.95,8.3,1,3.6,8584,2821,84.1,242.2,116.0,4,1
0.76,7.5,2,2.3,7143,2505,127.0,307.8,102.3,4,1
0.97,7.2,1,4.0,7133,3043,104.4,351.2,110.3,3,1
0.89,8.4,2,3.2,9152,2781,113.6,293.6,67.6,3,1
0.9,6.3,2,3.5,8786,2228,86.4,231.6,50.2,4,1
0.99,8.3,1,3.7,8444,3039,114.8,230.6,103.4,3,1
0.88,7.5,1,3.9,8519,2490,65.2,375.6,116.3,3,1
0.92,8.4,1,2.3,9893,3125,74.9,305.5,92.5,3,1
0.98,8.3,1,3.4,9268,2764,99.4,303.5,58.5,3,1
0.72,6.1,1,3.2,6058,2145,123.7,211.8,54.7,3,1
0.96,6.2,1,2.6,9976,2438,108.5,344.7,111.8,4,1
0.77,7.4,2,2.4,6794,2882,91.9,282.2,110.5,3,1
0.9,9.0,1,2.1,11965,2694,132.1,221.9,63.4,4,1
0.74,6.6,2,2.5,6617,2907,132.7,371.2,56.9,3,1
0.99,8.8,1,2.3,9978,2985,79.2,280.2,54.1,4,1
0.7,7.2,2,2.6,11706,3138,119.6,297.3,63.3,3,1
0.99,7.7,1,3.5,6468,2102,112.6,300.6,109.7,3,1
0.72,7.5,1,2.1,6556,2481,96.3,388.3,89.9,3,1
0.89,7.3,2,3.9,7673,2643,81.5,279.2,97.0,4,1
0.84,8.8,1,2.0,11088,3153,149.6,214.7,64.9,4,1
0.74,7.0,1,3.8,9027,2583,74.2,366.7,99.2,3,1
0.9,7.7,1,3.9,7100,2541,70.4,221.4,88.7,4,1
0.78,6.6,2,2.4,11195,2540,105.5,250.2,113.6,3,1
0.73,7.3,2,2.1,8732,2267,117.3,252.4,101.9,4,1
0.87,6.3,1,3.1,9024,3192,109.7,286.0,52.9,4,1
0.97,8.4,1,3.8,7720,2511,120.0,270.7,89.2,4,1
0.99,8.2,1,3.7,7450,2844,62.2,347.3,73.3,4,1
0.94,8.6,1,2.5,11744,2221,94.4,207.7,82.9,3,1
0.94,7.4,2,3.6,7864,2456,62.1,238.6,73.0,3,1
0.99,6.8,2,3.4,10392,2678,144.5,223.1,117.9,3,1
0.87,9.0,1,2.2,9559,2707,125.6,262.7,92.4,3,1
0.82,7.7,2,2.1,9572,2003,106.8,361.3,98.1,3,1
0.81,6.2,2,3.2,11434,2255,124.8,260.1,71.6,4,1
0.8,8.1,1,2.4,11447,2776,121.0,380.6,93.1,4,1
0.82,8.5,2,2.6,9521,3187,114.6,264.4,80.9,3,1
0.85,8.4,1,3.3,8324,3055,119.7,323.9,56.5,3,1
0.9,6.7,1,2.3,6378,2501,148.6,322.3,103.8,4,1
0.82,7.9,1,3.4,9145,3012,96.0,229.5,98.1,3,1
0.93,6.7,2,2.1,8041,2248,101.1,360.3,96.7,4,1
0.99,8.7,2,3.7,10488,2913,140.7,348.7,83.2,4,1
0.93,8.5,2,3.5,10270,2992,116.4,254.9,55.4,4,1
0.77,7.0,1,2.3,7894,2784,122.5,341.3,54.5,4,1
0.8,7.4,1,2.4,9441,2797,141.4,316.8,98.7,4,1
0.84,8.8,2,3.5,9432,3102,127.3,309.2,92.2,3,1
0.85,6.8,2,2.1,8753,2828,125.2,368.1,114.4,3,1
0.97,7.8,1,2.2,9511,2277,138.0,236.3,68.2,4,1
0.76,7.0,2,2.6,9453,2516,135.1,294.1,102.4,3,1
1.0,7.0,1,3.6,11339,2082,127.9,389.9,64.0,3,1
0.89,6.7,2,3.3,10620,2446,101.9,251.2,75.8,3,1
0.93,6.5,2,2.2,6210,2638,111.8,381.6,76.3,3,1
0.72,8.1,1,2.2,8470,2247,131.7,313.2,52.9,4,1
0.9,6.2,2,2.0,9441,3003,69.5,392.2,94.5,4,1
0.91,7.3,2,3.2,10408,2990,101.8,365.1,91.5,4,1
0.96,8.5,1,2.6,9692,2499,127.5,314.0,96.8,4,1
0.71,8.6,1,3.0,8906,2529,90.6,376.1,99.1,4,1
0.87,7.5,1,2.2,11898,2832,104.0,351.6,98.3,4,1
0.83,6.1,2,2.4,11667,2498,87.6,316.3,83.1,4,1
0.83,8.2,2,2.7,9717,2554,87.6,246.1,100.5,4,1
0.74,7.6,1,2.4,9966,2566,125.2,395.3,86.7,4,1
0.99,8.5,2,2.5,7469,2619,61.3,306.8,69.2,3,1
0.87,8.1,1,3.3,10021,2210,138.5,314.8,82.9,4,1
0.8,8.9,2,3.9,9913,2233,134.0,280.1,55.2,3,1
0.75,8.4,2,2.2,8033,2242,110.2,283.2,91.7,3,1
0.93,7.1,2,2.6,10821,2878,87.5,324.2,92.7,3,1
0.98,6.6,1,2.5,6665,2321,81.6,310.4,61.0,4,1
0.84,7.8,2,2.1,8360,2579,123.3,290.8,98.1,4,1
0.94,7.9,1,2.9,10461,2460,118.3,381.7,107.9,3,1
0.72,8.4,2,2.9,9839,2622,123.0,388.5,85.0,4,1
0.83,7.8,2,3.5,10945,2512,62.3,245.8,97.2,3,1
1.0,8.0,2,3.2,7435,2963,106.7,288.4,69.5,4,1
0.89,7.5,1,2.9,9345,2682,88.9,220.9,61.3,4,1
0.91,6.9,2,3.6,10506,2075,100.9,262.9,72.6,4,1
0.96,8.5,1,3.3,10444,2946,97.2,237.5,75.3,4,1
0.89,8.3,1,2.5,7073,2589,99.4,339.7,58.5,3,1
0.91,6.9,1,3.1,6763,2460,149.3,382.6,82.3,3,1
0.89,6.5,2,3.0,8239,2850,135.1,396.0,67.1,3,1
0.82,8.8,1,3.7,8263,2849,90.6,357.5,68.7,3,1
0.78,6.9,2,3.7,9658,3103,103.6,266.5,103.4,4,1
0.84,7.0,1,4.0,7956,3171,94.5,371.2,78.8,4,1
0.92,8.1,2,2.8,11436,2311,104.6,207.4,85.2,4,1
0.96,8.6,2,2.2,9743,2031,125.0,282.0,95.8,3,1
0.72,8.3,2,2.7,11674,2814,118.5,370.4,109.7,4,1
0.99,7.9,2,3.7,6294,2140,81.1,336.9,70.1,3,1
0.92,7.3,1,3.5,11766,2205,99.9,338.8,113.2,3,1
0.8,6.2,2,2.7,7192,2500,107.8,313.2,105.5,3,1
0.75,7.8,2,3.2,7972,3019,142.2,228.6,82.3,4,1
0.84,8.0,2,3.8,11550,3119,74.2,288.3,74.2,4,1
0.89,7.3,2,2.9,8474,2407,149.9,370.7,57.5,4,1
0.87,7.7,2,2.0,11392,2810,84.7,313.2,98.0,3,1
0.97,8.2,2,3.6,7885,2721,79.7,238.0,67.5,3,1
0.89,8.7,1,2.6,9611,2068,112.2,346.5,56.3,4,1
0.8,7.2,1,2.3,10418,2749,107.8,382.7,108.1,4,1
0.97,8.8,2,3.5,8774,2235,102.1,215.1,102.8,3,1
0.96,8.2,2,3.9,10565,2749,68.1,278.9,68.5,3,1
0.84,8.0,2,3.2,11230,2760,69.8,246.8,51.8,4,1
0.97,6.7,1,3.3,9803,2618,118.4,223.3,53.2,3,1
0.79,7.5,1,2.5,10403,2277,95.0,274.2,116.5,4,1
0.88,8.2,2,3.3,10008,2835,144.5,255.9,98.3,3,1
0.83,8.9,2,2.2,11617,2752,109.0,395.6,75.1,4,1
0.78,8.9,2,2.2,7737,2043,64.6,266.7,119.2,3,1
0.72,8.3,1,3.2,7908,2672,129.7,357.7,91.7,4,1
0.96,6.4,1,3.1,7429,2225,119.5,205.2,51.0,3,1
0.88,6.0,2,2.1,9448,3077,70.2,212.7,81.4,4,1
0.85,6.3,1,3.9,6355,3067,87.1,328.7,52.2,4,1
0.95,7.3,1,3.0,9633,2150,140.9,264.4,60.4,3,1
0.78,7.9,2,2.8,10893,3086,86.5,301.1,80.1,3,1
0.96,8.0,1,2.9,7871,2847,90.5,290.7,79.1,3,1
0.79,6.9,2,2.7,7250,2971,66.0,366.4,56.5,3,1
0.92,7.1,1,3.1,10804,3150,110.6,334.0,78.8,4,1
0.96,8.2,2,3.2,8880,2212,112.0,242.5,96.0,3,1
0.95,7.1,2,2.2,8282,3175,80.4,285.8,89.3,3,1
0.88,8.0,2,2.1,8238,2632,142.9,270.2,62.7,3,1
0.87,7.2,1,3.5,6251,2187,127.2,243.0,79.4,4,1
0.75,6.9,2,3.6,10649,2173,139.5,231.1,102.8,3,1
0.9,6.8,2,3.0,9621,2848,84.6,351.0,58.0,4,1
0.73,8.0,2,3.1,8526,2093,79.8,396.9,53.8,3,1
0.79,6.6,1,3.5,8371,2671,70.8,299.5,80.1,3,1
0.81,8.1,2,2.1,6346,2893,61.7,384.2,110.3,4,1
0.87,8.1,2,2.6,9318,2042,147.0,234.4,116.3,4,1
0.95,8.8,1,2.9,6867,2498,99.2,280.1,55.5,4,1
0.92,6.7,1,2.2,11187,2233,107.8,238.8,104.3,4,1
0.92,8.5,1,2.5,7199,2524,77.8,320.5,103.2,3,1
0.75,8.3,2,2.9,10618,3186,100.4,384.8,89.5,4,1
0.96,7.9,1,2.9,9841,2905,116.8,359.3,91.4,4,1
0.85,6.9,2,2.1,9020,2587,66.9,372.9,109.9,4,1
0.84,7.7,1,2.9,10683,2385,88.9,295.1,60.6,3,1
0.84,8.4,2,4.0,6690,3033,118.2,207.8,99.5,4,1
0.86,7.8,2,2.7,8317,2793,96.8,267.7,91.9,4,1
0.72,6.3,2,2.6,11928,2307,90.0,316.5,59.9,4,1
0.79,8.0,2,2.3,11806,2173,87.9,275.3,105.4,3,1
0.9,8.5,1,3.3,9468,3041,92.6,272.5,62.6,3,1
0.8,8.3,1,2.5,7126,2317,66.9,368.9,57.1,3,1
0.9,8.6,1,3.2,7263,2332,76.3,338.6,93.7,3,1
0.92,6.1,2,3.4,7945,2909,115.0,350.5,104.9,3,1
0.86,6.9,2,3.8,7589,2753,121.0,314.1,80.8,4,1
0.93,7.5,2,3.9,7635,2283,138.6,210.4,83.6,4,1
0.87,6.3,1,2.6,7313,2558,100.4,302.7,108.2,3,1
0.98,6.7,2,3.8,6218,2849,64.8,300.4,66.5,3,1
0.81,6.1,1,3.7,11324,2686,131.2,227.5,70.1,4,1
0.91,6.4,2,2.9,6043,2162,61.7,243.1,60.5,4,1
0.73,6.9,2,2.2,7953,2859,117.5,324.6,54.4,4,1
0.88,6.0,1,3.4,8386,2879,60.1,270.6,89.9,3,1
0.9,6.3,2,2.1,10309,3114,105.7,397.7,88.8,4,1
0.96,6.1,2,4.0,8077,2033,92.1,213.5,66.9,3,1
0.93,8.2,2,2.3,8886,3118,90.5,328.6,108.1,4,1
0.99,7.4,1,3.6,6516,2937,63.3,240.3,105.4,3,1
0.79,6.9,2,4.0,10448,2969,82.8,350.7,63.4,4,1
0.96,6.1,2,2.5,9014,2894,140.1,348.7,112.6,4,1
