sleep_hours,sleep_quality,water_liters,steps_count,activity_type,calories,protein,carbs,fat,habit_completion_ratio,mood
8.3,0,2.5,9126,0,3185,121.5,286.3,87.2,0.77,Happy
7.1,0,2.6,8952,1,3130,117.1,254.9,75.9,0.85,Happy
7.6,2,3.8,11108,3,2496,70.6,203.8,101.1,0.94,Happy
7.2,2,3.1,9470,2,1888,120.3,284.1,117.8,0.95,Happy
7.8,1,3.3,11397,1,1942,45.0,207.0,63.2,0.89,Happy
7.2,1,2.8,8413,2,2133,80.7,202.4,61.4,0.81,Happy
8.9,2,3.5,10495,1,2134,90.8,217.5,114.0,0.89,Happy
8.4,0,2.8,9328,1,1865,128.6,250.3,45.3,0.95,Happy
8.8,2,3.4,10940,3,2610,137.3,310.7,51.4,0.79,Happy
7.3,2,3.6,10207,3,2995,83.9,204.8,119.8,0.78,Happy
8.0,0,2.6,8192,1,3193,86.4,165.9,70.5,0.96,Happy
9.0,0,3.3,11977,0,3196,137.3,337.7,101.5,0.87,Happy
7.7,2,2.9,8647,2,2825,123.8,276.9,48.5,0.84,Happy
8.3,0,3.8,10079,2,2130,99.3,344.7,82.4,0.88,Happy
7.0,1,3.0,8079,2,2290,46.4,369.5,115.8,0.73,Happy
7.2,2,3.2,8283,1,2062,112.6,386.7,53.2,0.99,Happy
8.1,2,3.4,11950,1,2438,83.9,317.9,69.9,0.76,Happy
8.8,1,3.2,9015,0,3004,100.9,297.1,40.6,0.77,Happy
8.4,1,2.6,8276,0,2852,66.2,317.2,57.1,0.97,Happy
7.3,0,3.9,10338,3,2633,60.9,174.2,74.5,0.87,Happy
7.8,2,3.2,10986,0,1924,84.3,234.8,108.9,0.72,Happy
7.5,0,2.8,9837,2,2747,67.5,380.8,75.5,0.74,Happy
8.7,2,3.3,8207,0,1991,141.9,362.2,53.3,0.9,Happy
8.0,0,2.8,9642,3,1804,148.4,216.3,102.7,0.97,Happy
7.9,2,3.1,11921,3,2117,60.9,204.4,44.7,0.92,Happy
8.5,2,2.6,9284,3,2829,141.1,282.8,44.6,0.72,Happy
8.0,2,3.8,8280,1,2626,53.2,372.6,59.7,0.88,Happy
8.2,2,3.4,9717,2,2334,62.5,329.0,59.1,0.9,Happy
7.8,0,3.5,9228,0,2738,108.3,290.7,48.0,0.84,Happy
8.1,0,3.3,8542,1,2556,71.3,259.5,83.5,0.98,Happy
7.6,0,4.0,11305,2,3158,51.4,369.5,61.2,0.9,Happy
8.8,2,3.6,8636,1,2502,62.4,308.6,61.1,0.78,Happy
8.0,2,3.9,11465,3,2366,44.8,233.4,50.5,0.72,Happy
9.0,1,2.7,9809,0,2029,48.3,370.8,112.3,0.87,Happy
8.1,1,3.8,10385,1,1885,73.9,374.7,103.7,0.87,Happy
8.7,2,3.8,8860,0,2524,125.8,371.0,72.5,0.9,Happy
8.2,0,2.7,11808,1,2644,42.7,334.1,66.6,0.77,Happy
8.9,0,3.7,11539,2,2126,126.6,177.0,109.8,0.92,Happy
8.7,1,2.8,11344,2,2266,64.5,315.0,71.9,0.98,Happy
7.6,2,2.6,11167,3,3191,147.9,284.1,115.1,0.78,Happy
7.2,1,4.0,8731,0,2022,105.6,236.4,102.9,0.87,Happy
7.9,2,4.0,8473,1,2321,44.9,259.0,81.6,0.82,Happy
8.6,2,3.5,11851,1,2545,87.4,387.2,113.7,0.92,Happy
8.2,1,3.5,8510,2,3165,84.9,250.6,63.7,0.92,Happy
7.3,2,3.1,11851,1,3060,102.6,251.5,106.7,0.81,Happy
7.6,2,2.8,11218,2,2752,88.6,318.9,80.9,0.87,Happy
8.6,0,3.9,11014,2,2855,113.0,304.8,47.5,0.75,Happy
8.9,0,2.9,9271,1,1850,45.1,396.0,88.9,0.77,Happy
8.5,0,3.2,11629,3,2812,84.0,186.9,95.0,0.89,Happy
8.8,1,3.8,11626,1,2160,128.5,324.0,77.2,0.73,Happy
8.1,1,3.9,8497,2,2706,107.4,329.8,80.4,0.84,Happy
8.7,1,3.3,11674,3,2330,122.7,360.0,62.2,0.75,Happy
8.6,0,3.2,8979,2,2280,69.9,229.9,83.2,0.78,Happy
7.3,0,2.8,10842,0,2649,84.8,285.7,73.3,0.75,Happy
7.4,2,3.1,11706,0,2979,81.8,151.5,68.1,0.93,Happy
8.5,2,3.8,11905,1,2799,64.1,259.0,42.3,0.95,Happy
7.7,1,3.5,9656,1,3074,98.8,376.7,87.4,0.92,Happy
8.3,1,2.6,9755,1,1902,68.6,231.8,76.4,0.74,Happy
7.7,1,3.8,9139,2,1967,91.7,337.3,44.2,0.93,Happy
8.9,2,2.8,8281,0,1863,144.5,199.8,41.6,0.93,Happy
7.3,0,2.7,10742,3,2324,124.4,191.9,88.6,0.73,Happy
8.5,1,2.7,11355,0,2985,42.8,228.0,94.2,0.75,Happy
8.9,2,3.1,10928,1,2008,116.7,225.4,94.7,0.76,Happy
8.6,1,3.7,10318,3,3154,80.8,276.5,67.3,0.93,Happy
8.7,1,3.7,8432,3,2113,87.9,333.4,117.2,0.83,Happy
7.5,1,3.7,10204,3,3013,69.5,362.9,106.5,0.93,Happy
7.2,2,3.8,8998,3,2488,43.2,362.7,54.5,0.93,Happy
7.4,2,3.7,9394,2,2938,41.1,387.0,46.8,0.78,Happy
8.4,1,3.2,11105,3,2717,127.2,173.3,57.7,0.77,Happy
8.4,2,3.0,10382,2,2671,149.6,287.6,68.1,0.81,Happy
7.9,0,3.0,8944,2,2044,121.7,387.7,95.2,0.74,Happy
7.4,2,3.6,9132,2,2005,131.6,224.1,68.9,0.92,Happy
7.6,0,3.6,8518,2,2058,110.2,338.2,48.2,0.78,Happy
7.0,0,2.9,9960,0,2317,143.5,269.4,105.8,0.83,Happy
7.8,0,2.6,10578,1,2952,144.4,171.3,59.9,0.91,Happy
8.1,0,3.1,10441,3,2722,139.9,224.3,87.1,0.94,Happy
7.9,2,3.4,8246,0,2225,108.8,216.2,46.5,0.88,Happy
7.5,1,3.3,8641,3,2396,43.6,222.0,62.6,0.7,Happy
8.7,2,2.6,8956,1,2670,52.6,206.2,51.9,0.98,Happy
7.5,1,2.7,8244,2,2699,53.7,322.2,96.0,0.75,Happy
8.9,2,3.3,10022,0,2684,120.8,300.9,42.1,0.83,Happy
7.5,0,3.5,11524,2,2980,44.4,339.1,77.6,0.87,Happy
8.3,1,3.9,8743,3,1986,91.7,252.1,65.7,1.0,Happy
7.2,1,2.7,9686,3,2926,44.0,172.0,60.2,0.91,Happy
7.2,0,3.7,11542,3,2646,46.0,279.6,89.8,0.85,Happy
8.0,2,3.2,8211,1,2389,88.2,324.6,49.7,0.76,Happy
8.9,1,3.4,8980,0,2931,84.9,206.2,107.3,0.91,Happy
7.2,1,3.9,10653,2,2842,117.6,253.9,78.6,0.95,Happy
7.9,2,3.2,8592,1,1942,70.4,347.5,73.2,0.82,Happy
8.9,2,3.3,11360,2,3002,103.8,315.0,109.2,0.7,Happy
7.9,2,3.2,9361,3,2732,142.6,367.4,118.5,0.87,Happy
7.5,0,3.1,11506,2,2768,117.6,352.9,70.9,0.93,Happy
8.3,0,3.7,8623,1,2828,146.2,233.0,48.0,0.85,Happy
8.7,2,2.6,11729,1,2639,135.8,392.5,46.0,0.84,Happy
8.6,2,2.9,10552,0,2472,133.8,364.8,70.4,0.91,Happy
7.6,2,3.6,11110,0,3064,47.5,307.8,113.7,0.85,Happy
9.0,2,3.6,9777,0,2708,58.3,224.9,42.3,0.99,Happy
7.6,0,2.6,9468,1,2887,85.3,320.5,54.4,0.81,Happy
7.4,0,3.4,9566,3,2994,55.7,265.3,60.3,0.89,Happy
7.5,1,2.5,11295,1,1951,88.6,236.4,87.0,0.84,Happy
