steps_count,activity_type,water_liters,calories,protein,carbs,fat,habit_completion_ratio,mood,sleep_quality
3619,1,0.6,2359,121.0,285.3,111.4,0.11,0,0
1356,1,1.1,1632,95.6,155.3,55.9,0.01,0,0
3661,0,1.2,2029,123.5,181.9,73.8,0.09,1,0
2138,3,0.7,2381,50.6,319.5,88.3,0.13,0,0
1177,0,1.2,2149,100.7,315.9,89.5,0.05,1,0
2481,2,1.1,2321,148.4,321.1,109.3,0.03,0,0
2556,2,0.8,2250,79.1,284.0,96.1,0.33,0,0
3799,1,1.1,2223,90.8,204.0,114.0,0.25,0,0
3818,1,1.1,2301,130.4,311.0,72.1,0.13,0,0
1271,1,0.7,2180,112.1,229.1,113.2,0.35,1,0
2879,3,0.6,1742,138.8,229.9,57.5,0.1,1,0
1566,1,1.0,1693,109.0,308.4,73.8,0.3,0,0
1260,0,0.9,2210,114.8,172.9,110.8,0.4,1,0
2092,1,1.3,1948,89.9,340.8,110.1,0.04,1,0
2078,2,1.5,2380,132.6,251.5,55.9,0.07,0,0
2531,2,1.3,2152,93.7,172.4,69.0,0.38,0,0
2259,0,0.7,1846,120.5,313.2,118.2,0.35,0,0
3181,2,1.3,1731,98.0,271.3,117.1,0.26,0,0
3208,3,1.3,2306,149.5,280.0,75.0,0.08,1,0
3119,0,1.0,1853,104.7,196.0,57.6,0.09,1,0
1290,2,1.2,1660,47.8,197.6,93.5,0.09,0,0
1877,1,1.0,2340,126.3,311.5,55.2,0.37,1,0
1397,0,1.2,1962,114.1,346.8,47.9,0.17,1,0
2649,3,1.2,1711,55.4,186.7,77.0,0.1,0,0
1308,0,0.9,2163,141.9,319.7,53.3,0.04,0,0
2989,3,1.0,2010,40.2,228.1,114.1,0.36,0,0
2863,1,0.8,2313,60.9,193.5,44.7,0.38,1,0
3220,1,0.6,1921,46.3,251.6,108.1,0.02,1,0
1280,0,1.1,2291,143.6,263.9,86.3,0.34,1,0
1162,2,1.1,2029,62.5,293.2,59.1,0.26,1,0
2621,0,0.6,2260,41.0,274.2,85.0,0.12,1,0
1409,2,0.6,1818,136.9,325.9,69.6,0.2,0,0
1646,2,0.9,2156,142.5,170.7,110.3,0.28,0,0
2083,2,0.6,1709,71.0,192.1,67.4,0.3,0,0
3815,0,1.1,1870,50.2,234.7,62.1,0.2,1,0
1014,1,0.8,1733,121.5,260.3,74.2,0.25,1,0
1039,2,0.6,2307,104.1,179.6,50.2,0.36,0,0
2262,1,0.9,1640,113.4,220.7,84.8,0.36,0,0
2664,1,1.5,2367,147.4,312.2,110.5,0.06,0,0
1101,1,0.7,1940,69.3,307.5,48.6,0.31,1,0
1158,2,1.4,1827,73.6,309.1,58.2,0.08,1,0
1096,2,1.2,2008,78.6,251.9,94.4,0.13,0,0
3196,1,0.8,1628,103.9,346.7,43.1,0.05,1,0
3443,0,0.9,2346,82.4,265.3,60.4,0.31,1,0
3903,2,0.9,2132,87.4,339.8,113.7,0.37,0,0
3552,2,0.8,1727,113.4,215.2,95.8,0.29,1,0
3270,1,0.6,2030,107.7,210.2,83.8,0.27,1,0
1001,3,0.8,1815,88.6,285.1,80.9,0.17,1,0
1695,0,1.2,1890,130.0,300.2,93.8,0.21,1,0
1920,3,1.3,1750,107.2,303.7,76.4,0.01,0,0
3579,3,1.1,2335,66.8,281.2,40.4,0.28,1,0
1436,0,1.3,1824,101.3,333.5,49.7,0.07,1,0
1546,3,1.3,2283,107.4,293.9,80.4,0.21,1,0
3244,3,0.9,1762,68.5,199.4,91.0,0.3,1,0
3135,2,1.0,1844,65.8,217.2,111.4,0.11,0,0
1330,1,0.6,1836,47.1,231.5,83.4,0.15,0,0
2703,3,0.6,2030,92.5,338.5,63.9,0.16,0,0
2597,3,1.4,2029,64.1,237.2,42.3,0.22,0,0
2376,1,1.2,2014,147.9,256.8,112.6,0.29,1,0
3424,1,1.1,1627,135.4,186.3,60.8,0.03,1,0
2340,2,0.7,1934,122.7,316.4,60.2,0.14,1,0
1335,1,1.0,2367,111.5,306.2,92.1,0.22,1,0
1127,1,1.4,1804,53.9,283.9,85.1,0.34,0,0
1892,0,1.0,1862,125.6,182.8,64.9,0.31,0,0
3370,3,0.5,1919,143.6,189.7,87.4,0.23,1,0
3569,0,0.7,2313,78.2,235.7,69.6,0.31,0,0
3072,0,1.1,1612,87.7,222.4,111.3,0.34,1,0
2883,3,1.2,2045,91.1,315.1,87.4,0.07,1,0
2320,1,1.4,1688,122.6,264.0,93.5,0.11,1,0
2377,2,0.5,1932,127.8,218.1,110.4,0.07,0,0
3872,0,1.4,2169,66.5,231.3,84.4,0.0,0,0
1984,0,1.2,2261,50.2,194.3,95.3,0.28,1,0
2254,3,1.2,1977,149.6,260.1,68.1,0.19,1,0
2858,2,0.8,1857,53.2,257.2,101.0,0.09,0,0
1758,0,0.7,2356,131.6,209.2,68.9,0.19,1,0
2238,0,0.5,2146,100.9,289.5,50.1,0.05,0,0
3010,3,0.6,1612,88.5,186.9,44.1,0.23,1,0
2956,0,0.6,1666,56.7,312.2,115.9,0.16,0,0
1348,1,1.5,1721,125.3,226.1,112.7,0.22,1,0
2217,0,1.4,2039,144.2,191.6,56.9,0.12,0,0
3705,1,0.6,1845,40.3,240.1,87.5,0.07,0,0
2192,0,0.5,1895,115.6,334.8,103.0,0.28,1,0
3560,1,1.1,1802,139.9,315.3,45.7,0.17,0,0
1679,3,1.3,2209,53.7,287.7,96.0,0.3,1,0
2115,3,1.0,2105,120.8,270.7,42.1,0.18,0,0
1937,2,1.5,2189,103.4,302.6,54.0,0.23,0,0
3125,3,1.2,1884,146.6,244.0,72.7,0.07,1,0
2315,2,1.2,1764,112.9,230.1,100.8,0.13,1,0
1150,3,1.0,1922,135.1,315.0,40.1,0.1,0,0
3222,3,1.0,1655,108.8,302.0,56.3,0.08,1,0
3249,0,0.6,1894,43.2,276.0,103.9,0.18,1,0
3907,0,0.7,2164,64.7,318.3,49.1,0.01,1,0
1481,2,1.1,1757,85.7,246.5,77.8,0.2,1,0
2870,0,1.1,1992,70.4,308.0,73.2,0.08,0,0
3079,3,0.8,1602,135.2,239.3,78.7,0.11,1,0
2361,1,1.1,2156,147.9,197.8,70.6,0.15,1,0
2682,3,0.5,2362,148.7,308.5,92.2,0.19,1,0
1623,0,1.0,1637,136.2,238.1,82.1,0.05,1,0
2871,0,0.5,1747,91.6,343.8,67.1,0.16,0,0
3837,2,0.9,1682,108.9,327.5,79.0,0.34,1,0
